2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,,,,,,,,,,,,,,,,,,,,,,,61,61,,,,,,,,,,,,,,,,,,,,,,,2
2,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,2
2,,,,,,,,,,,,61,61,,,,,,,,,,,,,,,,,,,,,61,61,,,,,,,,,,,,2
2,,,,,,,,,,,,,,,,,,,,60,60,,62,62,,60,60,,,,,,,,,,,,,,,,,,,,2
2,,,,,,,,,,,2,2,2,2,,,,,,2,2,,2,2,,2,2,,,,,,2,2,2,2,,,,,,,,,,,2
2,,,,,,,61,61,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,61,61,,,,,,,2
2,,,,,,,,,,,,62,,2,,,60,60,,,,,,,,,,,60,60,,,2,,62,,,,,,,,,,,,2
2,,,,,,2,2,2,2,,,,,2,,,2,2,,,,,,,,,,,2,2,,,2,,,,,2,2,2,2,,,,,,2
2,,61,61,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,61,61,,2
2,,,,,,,,,,,,,,2,,,,,60,60,,,,,,,60,60,,,,,2,,,,,,,,,,,,,,2
2,2,2,2,2,,,,,,,,,,2,,,2,2,2,2,,,,,,,2,2,2,2,,,2,,,,,,,,,,2,2,2,2,2
,,,,,,,,,,,,62,,2,,,,,,,,,,,,,,,,,,,2,,62,,,,,,,,,,,,
,,,,,,,,,,,,,,2,,,,,,,,,61,61,,,,,,,,,2,,,,,,,,,,,,,,
,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,2,2,,,,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,60,60,,,,,60,60,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2,2,,,,,2,2,,,,,,,,,,,,,,,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,60,60,,,,,60,60,,,,,60,60,,,,,,,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,2,2,,,,,2,2,,,,,2,2,,,,,,,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,99,,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
