,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,21,,,,21,,,,21,,,,21,,,,1,,,,,,,1,21,,,,,,,,21,,,,,,,,21,,,,,,,,21,,,,,,,,21,,,,,,,,21,,,,,,,,21,,,,,,,,21,,,,,,,,21,,,,,,,,21,,1,,,,,,,1,21,,,,,,,,21,,,,,,,,21,,,,,,,,21,,,,,,,,21,,,,,,,,21,,1,,,,,,,,
,,99,,,1,33,33,61,33,33,61,33,33,,,33,33,61,33,33,61,33,33,1,33,33,60,60,33,33,1,33,33,,,33,33,,,33,33,,,33,33,,,33,33,,,33,33,,,33,33,,,33,33,,,33,33,,,33,33,,,33,33,,,33,33,,,33,33,,,33,33,,,33,33,,,33,33,,,33,33,,,33,33,,,33,33,1,33,33,60,60,33,33,1,,,33,,62,62,,33,,,33,,,,,33,,,33,,61,61,,33,,,33,,,,,33,,,33,,60,60,,33,,,1,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
,,,,,1,,,,,,1,,,,,,,1,,,,,,1,,,,,,,1,,,,,1,,,,,,62,,,,,,1,,,,,1,,,,,,62,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,1,,,,,,,,1,,1,,,,,,,,1,,1,,,,,,,,1,,1,,,,,,,,1,,1,1,1,1,,,,,,
,,,,,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,,,1,,,1,,,1,,,1,1,1,1,1,1,,,1,,,1,,,1,,,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,1,1,1,,,,,,,,1,1,1,,,,,,,,1,1,1,,,,,,,,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,61,61,,,,,,,,,,,,,,,,,,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,61,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,60,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,1,1,,,,,1,1,,,,,,1,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,1,60,1,,,,,,,,1,,1,,,,,,,,1,61,1,,,,,,,,1,,1,,,,,,,,1,62,1,,,,,,,,,
,,20,,,1,,,,,60,,,,,,,,,60,,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,1,60,1,,,33,33,33,,,1,,1,,,33,33,33,,,1,61,1,,,33,33,33,,,1,,1,,,33,33,33,,,1,62,1,,,,,34,30,,,
1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
